city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,22,7,16,0.43,5,67,39,7
阿克苏地区,239,101,376,1.6,42,38,44,14
阿拉善盟,66,43,80,0.73,16,62,58,23
阿勒泰地区,54,37,55,0.75,26,55,42,13
阿里地区,57,36,62,0.4,7,65,38,2
安康,144,110,171,1.33,31,63,38,19
安庆,250,199,262,1.35,76,33,32,15
鞍山,43,22,42,1.01,17,62,37,25
安顺,42,27,41,0.73,19,31,14,23
安阳,149,114,157,1.93,42,19,11,30
白城,39,15,38,0.5,13,76,56,12
百色,144,110,142,1.8,47,24,10,41
白山,105,78,109,0.75,6,68,30,13
白银,76,25,100,1.1,7,72,69,24
保定,76,55,88,1.97,55,27,14,35
宝鸡,231,180,353,2.55,74,8,9,48
保山,90,55,128,1.35,56,11,6,22
包头,54,13,55,0.53,10,66,49,8
巴彦淖尔,55,11,57,0.35,9,60,49,7
巴中,117,88,141,1.55,46,11,10,7
北海,85,62,77,1.18,17,126,81,10
北京,36,20,35,0.63,24,44,18,7
蚌埠,100,75,110,0.85,34,37,23,17
本溪,50,22,49,0.64,13,56,26,24
毕节,41,28,40,1.3,24,19,22,11
滨州,53,21,54,0.83,19,47,24,17
博州,36,25,31,0.85,12,39,34,11
亳州,207,156,233,1.55,45,40,36,22
沧州,59,40,66,0.8,28,41,16,32
长春,49,23,48,0.7,16,52,33,17
常德,78,57,65,1.02,23,47,45,6
昌都,66,31,79,1.15,13,71,36,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,146,111,147,1.8,41,45,44,16
长沙,122,92,116,1.01,42,26,14,17
常熟,66,44,80,0.95,66,38,29,24
长治,208,157,266,1.66,38,76,25,40
常州,62,39,71,1.08,57,32,22,17
朝阳,45,7,44,0.85,6,69,33,9
潮州,75,54,92,1.33,26,153,75,13
承德,35,16,34,0.36,8,64,19,9
成都,142,108,213,1.31,70,54,34,20
郴州,113,84,145,1.92,60,40,26,48
赤峰,63,33,73,0.27,9,53,18,9
池州,243,192,261,1.6,92,32,47,38
重庆,93,69,101,1.36,56,7,7,15
崇左,121,91,115,1.45,29,50,20,10
楚雄州,47,20,46,0.9,8,46,29,14
滁州,114,85,109,1.0,57,37,21,19
大连,39,18,38,0.7,16,57,40,15
大理州,26,14,20,0.6,16,53,50,4
丹东,30,13,29,1.13,10,58,44,14
大庆,33,23,32,0.58,16,52,32,14
大同,46,9,45,0.7,7,59,49,13
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,35,13,21,0.5,11,71,69,24
达州,237,186,252,2.18,52,42,40,28
德宏州,69,49,65,1.4,39,10,7,12
德阳,108,80,132,0.9,29,66,25,7
德州,63,37,74,1.23,30,32,11,24
定西,88,36,124,0.35,12,59,58,23
迪庆州,100,56,149,1.8,49,102,67,31
东莞,97,72,88,1.08,32,116,60,14
东营,60,25,67,0.75,14,51,39,21
鄂尔多斯,64,23,75,0.8,21,48,43,29
恩施州,143,109,154,1.1,28,18,7,6
鄂州,109,81,148,1.3,69,22,11,17
防城港,92,68,81,1.13,23,142,58,14
佛山,127,96,155,1.2,78,70,24,24
抚顺,38,17,37,0.53,13,56,28,13
阜新,44,6,43,0.32,4,67,56,6
阜阳,131,99,136,0.93,38,34,22,19
富阳,115,55,178,1.4,48,81,65,21
福州,63,34,74,0.83,28,69,49,7
抚州,124,93,139,1.12,36,43,17,42
甘南州,106,69,159,1.1,24,81,59,12
赣州,121,91,151,2.04,48,45,36,40
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,71,46,89,0.4,7,83,60,14
广安,125,94,158,1.36,44,13,6,17
广元,78,33,103,1.0,40,49,16,23
广州,104,77,105,1.16,56,73,29,18
贵港,99,74,103,0.8,19,140,62,26
桂林,150,115,144,1.13,28,60,36,24
贵阳,41,27,40,1.24,31,14,12,24
果洛州,91,67,121,1.2,36,78,40,98
固原,100,53,148,0.83,26,62,47,32
哈尔滨,71,48,89,0.69,26,56,37,30
海北州,88,51,124,0.7,21,85,64,31
海东地区,91,50,130,1.3,19,73,20,17
海口,63,35,73,0.7,9,88,84,5
海门,50,21,49,0.47,21,59,45,13
海南州,74,47,96,0.8,15,70,36,20
海西州,83,43,114,2.1,54,54,50,41
哈密地区,53,35,53,2.0,30,39,37,10
邯郸,106,79,141,1.3,42,23,9,26
杭州,136,103,165,1.3,77,38,23,13
汉中,237,186,272,2.98,77,13,10,33
鹤壁,96,71,136,1.67,37,30,15,17
河池,105,78,112,1.53,38,26,26,20
合肥,137,104,130,1.34,68,32,27,20
鹤岗,36,22,35,0.6,9,73,70,11
黑河,31,13,26,0.67,7,72,61,15
衡水,72,52,78,1.37,40,25,11,18
衡阳,133,101,168,1.4,44,34,17,47
和田地区,113,43,173,1.6,10,54,40,15
河源,86,63,99,1.1,29,75,29,12
菏泽,239,188,316,2.03,49,21,13,10
贺州,137,104,157,1.4,36,68,23,32
红河州,25,16,24,0.57,8,49,39,9
淮安,70,36,88,0.8,24,54,41,11
淮北,131,99,152,1.1,55,36,26,23
